id,source,question,freeze_datetime,resolution_date,outcome,p_h,p_he,n_evidence,brier_h,brier_he,brier_delta,z,abs_z
9e689e10d06d0f1429c1880d45995e0a2f8d7bee963366562791b4183527d7df,acled,"Will there be more 'Battles' in Bosnia and Herzegovina for the 30 days before 2025-11-25 compared to the 30-day average of 'Battles' over the 360 days preceding 2025-10-26?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Battles'
2023-11-11,1
2023-10-10,2
to calculate the 30-day average of 'Battles' over the preceding 360 days, we’d have: (1+2)/12=0.25.

In this example, for the question to resolve positively, 1 or more 'Battles' would need to occur in the 30 days leading up to the resolution.",2025-10-16T00:00:00+00:00,2025-11-25,0.0,0.35,0.25,8,0.12249999999999998,0.0625,0.059999999999999984,-0.28571428571428564,0.28571428571428564
0x07c96dbd0f70e5a27a0e15c22042abcc57bc6acc7f740f7935e0a08cde5e5138,polymarket,Will the U.S. collect between $500b and $1t in revenue in 2025?,2025-10-16T00:00:00+00:00,2026-02-28,0.0,0.02,0.01,8,0.0004,0.0001,0.00030000000000000003,-0.5,0.5
6b1c68a507fa625722143674cac09c96d837fd8efb49e20bb9a3d5ee14d1cc99,wikipedia,"According to Wikipedia, will a vaccine have been developed for Group A streptococcal infection by 2025-11-02?",2025-10-16T00:00:00+00:00,2025-11-02,0.0,0.15,0.08,8,0.0225,0.0064,0.0161,-0.4666666666666666,0.4666666666666666
MRK,yfinance,"Will MRK's market close price on 2026-01-24 be higher than its market close price on 2025-10-26?

Stock splits and reverse splits will be accounted for in resolving this question. Forecasts on questions about companies that have been delisted (through mergers or bankruptcy) will resolve to their final close price.",2025-10-16T00:00:00+00:00,2026-01-24,1.0,0.57,0.92,8,0.18490000000000004,0.006399999999999993,0.17850000000000005,0.8139534883720931,0.8139534883720931
cd6801b8a20588d4cdac5d6f486b2b61e70ded89ed9bb2ecc65f4812fe432586,wikipedia,"According to Wikipedia, will Shakhriyar Mamedyarov have a FIDE ranking on 2026-01-24 as high or higher than their ranking on 2025-10-26?",2025-10-16T00:00:00+00:00,2026-01-24,0.0,0.62,0.15,8,0.3844,0.0225,0.3619,-0.7580645161290323,0.7580645161290323
TAP,yfinance,"Will TAP's market close price on 2026-01-24 be higher than its market close price on 2025-10-26?

Stock splits and reverse splits will be accounted for in resolving this question. Forecasts on questions about companies that have been delisted (through mergers or bankruptcy) will resolve to their final close price.",2025-10-16T00:00:00+00:00,2026-01-24,1.0,0.48,0.85,8,0.27040000000000003,0.022500000000000006,0.2479,0.7115384615384615,0.7115384615384615
777e45ec0e466493a45b8a56e8569b124b04f9f49da990393971011932c7cd13,wikipedia,"According to Wikipedia, will a vaccine have been developed for Rocky Mountain spotted fever (RMSF) by 2026-04-24?",2025-10-16T00:00:00+00:00,2026-04-24,0.0,0.12,0.05,8,0.0144,0.0025000000000000005,0.011899999999999999,-0.5833333333333333,0.5833333333333333
KHC,yfinance,"Will KHC's market close price on 2026-04-24 be higher than its market close price on 2025-10-26?

Stock splits and reverse splits will be accounted for in resolving this question. Forecasts on questions about companies that have been delisted (through mergers or bankruptcy) will resolve to their final close price.",2025-10-16T00:00:00+00:00,2026-04-24,0.0,0.48,0.35,8,0.2304,0.12249999999999998,0.10790000000000001,-0.27083333333333337,0.27083333333333337
NFCIRISK,fred,Will the Chicago Fed's National Financial Conditions Risk Subindex have increased by 2026-01-24 as compared to its value on 2025-10-26?,2025-10-16T00:00:00+00:00,2026-01-24,0.0,0.48,0.05,8,0.2304,0.0025000000000000005,0.2279,-0.8958333333333334,0.8958333333333334
meteofrance_TEMPERATURE_celsius.07535.D,dbnomics,What is the probability that the daily average temperature at the French weather station at Gourdon will be higher on 2026-04-24 than on 2025-10-26?,2025-10-16T00:00:00+00:00,2026-04-24,1.0,0.78,0.72,8,0.04839999999999999,0.07840000000000001,-0.03000000000000002,-0.07692307692307698,0.07692307692307698
0x2a34915c245f4b94976dda8afddb56452caf0ba2307500f78d7f08813d467917,polymarket,Will Billie Eilish be the top Spotify artist for 2025?,2025-10-16T00:00:00+00:00,2025-12-03,0.0,0.12,0.0,8,0.0144,0.0,0.0144,-1.0,1.0
FTNT,yfinance,"Will FTNT's market close price on 2026-04-24 be higher than its market close price on 2025-10-26?

Stock splits and reverse splits will be accounted for in resolving this question. Forecasts on questions about companies that have been delisted (through mergers or bankruptcy) will resolve to their final close price.",2025-10-16T00:00:00+00:00,2026-04-24,0.0,0.52,0.68,8,0.27040000000000003,0.4624000000000001,-0.19200000000000006,0.3333333333333334,0.3333333333333334
WGS10YR,fred,"Will the market yield on US treasury securities at 10-year constant maturity, quoted on an investment basis, have increased by 2026-04-24 as compared to its value on 2025-10-26?",2025-10-16T00:00:00+00:00,2026-04-24,1.0,0.5,0.72,8,0.25,0.07840000000000001,0.17159999999999997,0.43999999999999995,0.43999999999999995
meteofrance_TEMPERATURE_celsius.07471.D,dbnomics,What is the probability that the daily average temperature at the French weather station at Le Puy – Loudes Airport will be higher on 2026-01-24 than on 2025-10-26?,2025-10-16T00:00:00+00:00,2026-01-24,0.0,0.15,0.25,8,0.0225,0.0625,-0.04,0.11764705882352942,0.11764705882352942
7b3b3daea3d3ddab8bcc4462169fece4ea5c5dcc9cf8d98f52d8bc4efff3d467,wikipedia,"According to Wikipedia, will a vaccine have been developed for Toxocariasis (visceral larva migrans (VLM)) by 2025-11-02?",2025-10-16T00:00:00+00:00,2025-11-02,0.0,0.08,0.08,8,0.0064,0.0064,0.0,0.0,0.0
meteofrance_TEMPERATURE_celsius.07690.D,dbnomics,What is the probability that the daily average temperature at the French weather station at Nice will be higher on 2025-11-25 than on 2025-10-26?,2025-10-16T00:00:00+00:00,2025-11-25,0.0,0.25,0.25,8,0.0625,0.0625,0.0,0.0,0.0
25e629b0a54ee795ccbb7c44968f319952cae286525fa43501a290151a3f1d6c,wikipedia,"According to Wikipedia, will Aleksandra Goryachkina have an Elo rating on 2025-11-25 that's at least 1% higher than on 2025-10-26?",2025-10-16T00:00:00+00:00,2025-11-25,0.0,0.35,0.45,8,0.12249999999999998,0.2025,-0.08000000000000003,0.15384615384615388,0.15384615384615388
0xa322e5cfd4c13c562553e4d18617be436c7ee24257b3b60a3757567ea99ce277,polymarket,Will 'The Life of a Showgirl' be #1 for 17 straight weeks?,2025-10-16T00:00:00+00:00,2025-12-02,0.0,0.08,0.01,8,0.0064,0.0001,0.0063,-0.8750000000000001,0.8750000000000001
meteofrance_TEMPERATURE_celsius.07117.D,dbnomics,What is the probability that the daily average temperature at the French weather station at Ploumanac'h will be higher on 2026-04-24 than on 2025-10-26?,2025-10-16T00:00:00+00:00,2026-04-24,1.0,0.62,0.72,8,0.1444,0.07840000000000001,0.06599999999999999,0.26315789473684204,0.26315789473684204
1563,infer,Will at least one European country or the European Union (EU) collectively commit to providing Ukraine with HIMARS-compatible rocket artillery systems or functional substitutes by 31 December 2025?,2025-10-16T00:00:00+00:00,2026-01-01,0.0,0.72,0.98,8,0.5184,0.9603999999999999,-0.44199999999999995,0.9285714285714285,0.9285714285714285
93a724b0c420f128e996e873a82865c23ea53aaf6a2956e8be8d6b375e6c2894,acled,"Will there be more fatalities in Bangladesh for the 30 days before 2026-04-24 compared to the 30-day average of fatalities over the 360 days preceding 2025-10-26?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,fatalities
2023-11-11,1
2023-10-10,2
to calculate the 30-day average of fatalities over the preceding 360 days, we’d have: (1+2)/12=0.25.

In this example, for the question to resolve positively, 1 or more fatalities would need to occur in the 30 days leading up to the resolution.",2025-10-16T00:00:00+00:00,2026-04-24,0.0,0.5,0.45,8,0.25,0.2025,0.04749999999999999,-0.09999999999999998,0.09999999999999998
ADSK,yfinance,"Will ADSK's market close price on 2025-11-02 be higher than its market close price on 2025-10-26?

Stock splits and reverse splits will be accounted for in resolving this question. Forecasts on questions about companies that have been delisted (through mergers or bankruptcy) will resolve to their final close price.",2025-10-16T00:00:00+00:00,2025-11-02,0.0,0.52,0.25,8,0.27040000000000003,0.0625,0.20790000000000003,-0.5192307692307693,0.5192307692307693
39c5b1a8f0aa3ee1a768e46ccdc5f1c1e002783ebe12f6ba97b44bb869efa7d5,acled,"Will there be more 'Strategic developments' in Reunion for the 30 days before 2026-04-24 compared to the 30-day average of 'Strategic developments' over the 360 days preceding 2025-10-26?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Strategic developments'
2023-11-11,1
2023-10-10,2
to calculate the 30-day average of 'Strategic developments' over the preceding 360 days, we’d have: (1+2)/12=0.25.

In this example, for the question to resolve positively, 1 or more 'Strategic developments' would need to occur in the 30 days leading up to the resolution.",2025-10-16T00:00:00+00:00,2026-04-24,0.0,0.35,0.5,8,0.12249999999999998,0.25,-0.1275,0.23076923076923078,0.23076923076923078
TMBACBW027SBOG,fred,Will the total dollar amount of mortgage-backed securities held by all US commercial banks have increased by 2026-01-24 as compared to its value on 2025-10-26?,2025-10-16T00:00:00+00:00,2026-01-24,0.0,0.55,0.58,8,0.30250000000000005,0.3364,-0.03389999999999993,0.06666666666666649,0.06666666666666649
2f9337f5d2cc530629386a651bc047c7b76cb3d2fa3222a2fca72a8a7a20e7b2,wikipedia,"According to Wikipedia, will a vaccine have been developed for Toxic shock syndrome (TSS) by 2026-04-24?",2025-10-16T00:00:00+00:00,2026-04-24,0.0,0.08,0.62,8,0.0064,0.3844,-0.378,0.5869565217391305,0.5869565217391305
29cec9b1e064ff3bd83697866c37c4146e05ad96ff1e1ce53430ea4bed9bedfe,acled,"Will there be more 'Protests' in Israel for the 30 days before 2026-01-24 compared to the 30-day average of 'Protests' over the 360 days preceding 2025-10-26?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Protests'
2023-11-11,1
2023-10-10,2
to calculate the 30-day average of 'Protests' over the preceding 360 days, we’d have: (1+2)/12=0.25.

In this example, for the question to resolve positively, 1 or more 'Protests' would need to occur in the 30 days leading up to the resolution.",2025-10-16T00:00:00+00:00,2026-01-24,0.0,0.35,0.58,8,0.12249999999999998,0.3364,-0.21389999999999998,0.3538461538461538,0.3538461538461538
IHLIDXUSTPSOFTDEVE,fred,Will the number of US software development job postings on Indeed have increased by 2025-11-25 as compared to its value on 2025-10-26?,2025-10-16T00:00:00+00:00,2025-11-25,1.0,0.55,0.62,8,0.20249999999999996,0.1444,0.05809999999999996,0.15555555555555547,0.15555555555555547
7233fa748a364e7e93f1899c23ff71571fb3e78b55a1bd951648209211af3cc7,wikipedia,"According to Wikipedia, will Ariarne Titmus still hold the world record for 200m freestyle in long course (50 metres) swimming pools on 2025-11-25?",2025-10-16T00:00:00+00:00,2025-11-25,1.0,0.4,0.72,8,0.36,0.07840000000000001,0.28159999999999996,0.5333333333333333,0.5333333333333333
meteofrance_TEMPERATURE_celsius.07558.D,dbnomics,What is the probability that the daily average temperature at the French weather station at Millau will be higher on 2025-11-25 than on 2025-10-26?,2025-10-16T00:00:00+00:00,2025-11-25,0.0,0.25,0.25,8,0.0625,0.0625,0.0,0.0,0.0
