id,source,question,freeze_datetime,resolution_date,outcome,p_h,p_he,n_evidence,brier_h,brier_he,brier_delta,z,abs_z
342a14e2377140e8a95d331b6c112002f902a6bacd1017b3ead112d3438b6bb1,acled,"Will there be more than ten times as many 'Strategic developments' in Hungary for the 30 days before 2025-11-02 compared to one plus the 30-day average of 'Strategic developments' over the 360 days preceding 2025-10-26?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Strategic developments'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Strategic developments' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Strategic developments' would need to occur in the 30 days leading up to the resolution.",2025-10-16T00:00:00+00:00,2025-11-02,0.0,0.15,0.25,8,0.0225,0.0625,-0.04,0.11764705882352942,0.11764705882352942
0x73f71c364e6085e956abcd950f2176abcf3a6959022b5cc008fd505f296e335a,polymarket,Will the U.S. invade Iran in 2025?,2025-10-16T00:00:00+00:00,2026-01-01,0.0,0.08,0.25,8,0.0064,0.0625,-0.0561,0.18478260869565216,0.18478260869565216
0x56a161fce05c462bbe64fdf80b83f720406150b11ae2d35c94907ac3d0eace80,polymarket,Will Zohran Mamdani win second place in the 2025 NYC mayoral election?,2025-10-16T00:00:00+00:00,2025-11-04,0.0,0.08,0.0,8,0.0064,0.0,0.0064,-1.0,1.0
0x2a34915c245f4b94976dda8afddb56452caf0ba2307500f78d7f08813d467917,polymarket,Will Billie Eilish be the top Spotify artist for 2025?,2025-10-16T00:00:00+00:00,2025-12-03,0.0,0.12,0.0,8,0.0144,0.0,0.0144,-1.0,1.0
0x027eeeaba097b5f3b166eace64668b2e6b327acc7c6b314ae5f03b33b51425e7,polymarket,Will Mikie Sherrill win the New Jersey Governor Election in 2025,2025-10-16T00:00:00+00:00,2025-11-04,1.0,0.25,0.99,8,0.5625,0.00010000000000000018,0.5624,0.9866666666666667,0.9866666666666667
0xe574324078501de57aa22beaaeafe461518a6556f0f97764bbbbd78d3a8e8048,polymarket,Will Peru win the 2026 FIFA World Cup?,2025-10-16T00:00:00+00:00,2025-11-19,0.0,0.003,0.0,8,9e-06,0.0,9e-06,-1.0,1.0
IORB,fred,Will the Federal Reserve's interest rate on reserve balances have increased by 2025-11-02 as compared to its value on 2025-10-26?,2025-10-16T00:00:00+00:00,2025-11-02,0.0,0.02,0.08,8,0.0004,0.0064,-0.006,0.061224489795918366,0.061224489795918366
0xf5bd04e6c5fb5400dd9deef7f67f2658b32430fc148f3ab52f011acf779fcb41,polymarket,Will Victor Ponta be the next Mayor of Bucharest?,2025-10-16T00:00:00+00:00,2025-12-07,0.0,0.25,0.15,8,0.0625,0.0225,0.04,-0.4,0.4
66FpF5wc6FoUxdSUp9Ch,manifold,Will Iran close the Strait of Hormuz by the end of 2025?,2025-10-16T00:00:00+00:00,2026-01-01,0.0,0.15,0.15,8,0.0225,0.0225,0.0,0.0,0.0
c11db639ef0a30ced800a69d5c3725b7f5b5e7c1df7735ceb4165154e82a05ac,wikipedia,"According to Wikipedia, will Leya Garifullina have an Elo rating on 2025-11-02 that's at least 1% higher than on 2025-10-26?",2025-10-16T00:00:00+00:00,2025-11-02,0.0,0.25,0.15,8,0.0625,0.0225,0.04,-0.4,0.4
25c3f1b2e05b73f6803f231e4f0f12b9c9e87f6fbbc9d8c2fd71044ab729fdd7,acled,"Will there be more than ten times as many fatalities in Armenia for the 30 days before 2025-11-02 compared to one plus the 30-day average of fatalities over the 360 days preceding 2025-10-26?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,fatalities
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of fatalities over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more fatalities would need to occur in the 30 days leading up to the resolution.",2025-10-16T00:00:00+00:00,2025-11-02,0.0,0.12,0.15,8,0.0144,0.0225,-0.0081,0.03409090909090909,0.03409090909090909
0x8d0139c21a36eaf6aacda9ccac75f58a45a9f2209b336351bebcce4ab11b3b03,polymarket,Starmer out in 2025?,2025-10-16T00:00:00+00:00,2025-12-31,0.0,0.18,0.25,8,0.0324,0.0625,-0.030100000000000002,0.08536585365853659,0.08536585365853659
c097d5216ff8068a20a5c9592860a003ccc06dd4eb7da842d86c3816a68c3ab6,wikipedia,"According to Wikipedia, will Gukesh Dommaraju have a FIDE ranking on 2025-11-02 as high or higher than their ranking on 2025-10-26?",2025-10-16T00:00:00+00:00,2025-11-02,1.0,0.55,0.98,8,0.20249999999999996,0.0004000000000000007,0.20209999999999995,0.9555555555555555,0.9555555555555555
0x62f31557b0e55475789b57a94ac385ee438ef9f800117fd1b823a0797b1fdd68,polymarket,Will the U.S. invade Venezuela in 2025?,2025-10-16T00:00:00+00:00,2025-12-31,0.0,0.08,0.15,8,0.0064,0.0225,-0.0161,0.07608695652173912,0.07608695652173912
0x1672bfe7ef6d85a4ecffa9faf1149ef1a1661dd919598ab46b04a6ae0a4ffab4,polymarket,Will the Brooklyn Nets win the NBA Eastern Conference Finals?,2025-10-16T00:00:00+00:00,2026-03-13,0.0,0.08,0.01,8,0.0064,0.0001,0.0063,-0.8750000000000001,0.8750000000000001
0x3e6cb7ad03e2687d0befe8706bb9ac276b3d74c0a8c7e02bf3c6b796e25601c0,polymarket,Will the Kansas City Chiefs win the AFC West?,2025-10-16T00:00:00+00:00,2025-12-08,0.0,0.62,0.58,8,0.3844,0.3364,0.04800000000000004,-0.06451612903225812,0.06451612903225812
