id,source,question,freeze_datetime,resolution_date,outcome,p_h,p_he,n_evidence,brier_h,brier_he,brier_delta,z,abs_z,reasoning_h,reasoning_he
0x2a34915c245f4b94976dda8afddb56452caf0ba2307500f78d7f08813d467917,polymarket,Will Billie Eilish be the top Spotify artist for 2025?,2025-10-16T00:00:00+00:00,2025-12-03,0.0,0.15,0.25,9,0.0225,0.0625,-0.04,0.11764705882352942,0.11764705882352942,"Billie Eilish is a major artist with significant streaming numbers, but predicting the top Spotify artist for 2025 requires considering competition from other major artists like Taylor Swift, The Weeknd, Drake, and others. While Eilish has had strong performance historically, she hasn't consistently been #1 globally. The top spot typically goes to artists with massive, sustained streaming across diverse demographics. Without knowing 2025's release schedule and streaming trends, this is highly uncertain but Eilish's probability should be modest given the competitive landscape.","Evidence shows Taylor Swift was the top Spotify artist for 2024 (second consecutive year with 26.6B streams). For 2025, evidence indicates Billie Eilish has strong streaming performance: 'Birds of a Feather' reached 3B streams in 481 days, she has 87M monthly listeners, and her album 'Hit Me Hard and Soft' was among 2024's top 5 albums. However, snippet 5 reveals Taylor Swift released 'The Life of a Showgirl' in 2025, which became the most-streamed album in a single day on Spotify in 2025, suggesting continued dominance. Spotify Wrapped 2025 will be released in early December 2025. While Eilish maintains strong momentum, Taylor Swift's demonstrated 2024 dominance and 2025 album success suggest she remains the likely top artist for 2025."
0x73f71c364e6085e956abcd950f2176abcf3a6959022b5cc008fd505f296e335a,polymarket,Will the U.S. invade Iran in 2025?,2025-10-16T00:00:00+00:00,2026-01-01,0.0,0.08,0.25,8,0.0064,0.0625,-0.0561,0.18478260869565216,0.18478260869565216,"A full U.S. invasion of Iran in 2025 is unlikely but not impossible. Key factors: (1) Iran has significant military capabilities and geographic challenges make invasion costly; (2) No current major military buildup suggests imminent invasion; (3) Historical precedent shows U.S. prefers sanctions/strikes to full invasion; (4) However, escalating regional tensions, potential Iranian nuclear developments, or major provocations could shift calculus; (5) The timeframe is only ~7 months from mid-2025. While military strikes are more plausible than full invasion, the resolution criteria specifically require establishing control over Iranian territory, which is a high bar.","The evidence indicates that a U.S.-Iran military conflict already occurred in June 2025, with the U.S. intervening on June 22, 2025, attacking Iranian nuclear facilities. However, the question asks about a U.S. invasion of Iran specifically between June 18 and December 31, 2025. The evidence describes U.S. airstrikes on Iranian nuclear sites (Natanz, etc.) rather than a ground invasion to establish control over Iranian territory. By October 2025, diplomatic talks had collapsed, sanctions were reimposed, and tensions remained high, but no full-scale U.S. ground invasion establishing territorial control had occurred. The evidence suggests military posturing and potential for renewed conflict, but distinguishes between airstrikes and an actual invasion. As of the evidence dates (through October 2025), no U.S. invasion meeting the resolution criteria appears to have materialized, though the situation remained volatile with continued risk of escalation."
342a14e2377140e8a95d331b6c112002f902a6bacd1017b3ead112d3438b6bb1,acled,"Will there be more than ten times as many 'Strategic developments' in Hungary for the 30 days before 2025-11-02 compared to one plus the 30-day average of 'Strategic developments' over the 360 days preceding 2025-10-26?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Strategic developments'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Strategic developments' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Strategic developments' would need to occur in the 30 days leading up to the resolution.",2025-10-16T00:00:00+00:00,2025-11-02,0.0,0.08,0.15,7,0.0064,0.0225,-0.0161,0.07608695652173912,0.07608695652173912,"This question asks whether 'Strategic developments' in Hungary will exceed 10 times a baseline calculated from historical ACLED data. The baseline is: 1 + (average daily Strategic developments over 360 days before 2025-10-26). The threshold is this baseline × 10, applied to the 30 days before 2025-11-02.

Without access to real-time ACLED data, I must estimate based on typical patterns. Hungary is a stable EU/NATO member with low political violence. Strategic developments are contextual events not fitting other categories—relatively rare in peaceful countries. Historical 360-day averages likely show 0.1-0.3 events per day, suggesting a baseline of 1.04-1.09 and threshold of 10.4-10.9 events in 30 days.

For this to resolve YES requires a dramatic spike in strategic developments—roughly 10+ events in one month versus historical ~3-9 per year. This would require major political upheaval, unlikely in stable Hungary.","The question asks whether 'Strategic developments' in Hungary during Oct 3-Nov 2, 2025 will exceed 10 times (1 + 30-day average of preceding 360 days). The evidence provided contains economic data (industrial contraction, retail sales, GDP growth, budget deficit) and survey information about EU priorities—none of which directly reference ACLED 'Strategic developments' events. ACLED's 'Strategic developments' category specifically covers contextually important information about incidents and activities of armed groups that may trigger future events or affect political dynamics. The evidence shows economic challenges and policy discussions but no armed group activities, security incidents, or political crises that would typically constitute strategic developments. Without access to actual ACLED data for Hungary, and given the evidence suggests stable political conditions despite economic headwinds, the probability of a 10x surge in strategic developments appears low."
0x34a8aa834927033bb6ac7bd96c508972611b826ca6d61e59c6d7d0cf3571d463,polymarket,Will Monad perform an airdrop by November 30? ,2025-10-16T00:00:00+00:00,2025-11-24,1.0,0.42,0.25,10,0.3364000000000001,0.5625,-0.2260999999999999,-0.40476190476190477,0.40476190476190477,"Monad is a Layer 1 blockchain in development. The question asks if they'll perform an airdrop by November 30, 2025. Key considerations: (1) Monad hasn't launched mainnet yet as of my knowledge cutoff; (2) Token launch timing is uncertain; (3) Even if mainnet launches soon, an airdrop isn't guaranteed; (4) The requirement for swappable tokens (not locked) is a meaningful constraint; (5) ~11 months remain until the deadline, providing reasonable time for both mainnet launch and airdrop execution. Many Layer 1 projects do conduct airdrops upon or shortly after launch. However, execution risk and timing uncertainty are significant.","Evidence shows Monad has officially launched a MON token airdrop with a claim portal live as of October 14-15, 2025. The claim window closes November 3, 2025. Multiple credible sources (BeInCrypto, CoinChapter, Medium) confirm the airdrop is active and distributing real MON tokens to ~230,000 eligible users. However, Polymarket data indicates 93% expect distribution in late November and 98% by December 31, suggesting actual token distribution may occur after November 30. The resolution requires both token launch AND airdrop completion by November 30. While the claim portal is live, actual distribution timing remains uncertain. The evidence indicates claims close November 3, but distribution could extend beyond November 30 based on market expectations."
0xf34b156ecf111694d6e6841a7effb807f9483cb0cabfaa3e50283530d96d58ce,polymarket,Tesla launches unsupervised full self driving (FSD) by October 31?,2025-10-16T00:00:00+00:00,2025-10-31,0.0,0.15,0.08,10,0.0225,0.0064,0.0161,-0.4666666666666666,0.4666666666666666,"Tesla currently offers FSD in beta with driver monitoring required. Achieving fully unsupervised operation meeting all criteria (no driver present, public road operation, broad accessibility) by October 31, 2025 requires significant technical and regulatory breakthroughs. While Tesla has made progress, full autonomy without supervision remains challenging. Elon Musk's optimistic timelines have historically slipped. The ~10-month timeframe is tight for both technology maturation and regulatory approval.","The evidence shows Tesla has released FSD V14/V14.1 as of October 6-9, 2025, with significant improvements integrating Robotaxi technology. However, all sources consistently describe this as 'FSD (Supervised)' requiring human supervision and driver attention. The resolution criteria explicitly require unsupervised operation with no human driver present or required to oversee performance. While FSD V14 demonstrates advanced capabilities (door-to-door driving, parking, emergency vehicle detection), official documentation still mandates human supervision. Musk's claims about the system 'feeling alive' are marketing language, not evidence of unsupervised deployment. The NHTSA investigation (October 9) into safety violations further indicates the system is not yet deemed safe for unsupervised operation. Tesla's limited Robotaxi pilot in Austin requires a safety operator present. No evidence indicates Tesla has released an unsupervised FSD version meeting all three resolution criteria by the deadline."
0x77b5bfe44beb0641905f76ee2f32f96f47d8863bcad586678224a6dc02f03ad3,polymarket,US forces in Iran in 2025?,2025-10-16T00:00:00+00:00,2025-12-31,0.0,0.12,0.15,9,0.0144,0.0225,-0.0081,0.03409090909090909,0.03409090909090909,"As of my knowledge cutoff (April 2024), there is no indication of imminent US military ground operations in Iran. While US-Iran tensions exist, direct ground combat operations would represent a major escalation. The specific criteria require regular active-duty personnel (excluding special ops, contractors, advisors) to physically enter Iranian territory for combat. This is a high bar. Historical precedent shows such operations are rare. The timeframe (June-December 2025) is relatively short. Geopolitical dynamics could shift, but absent concrete indicators of planned operations, the baseline probability remains low.","The evidence describes significant US military buildup in the Middle East (KC-135 refueling aircraft, USS Gerald Ford carrier group) and escalating US-Iran tensions as of October 2025. However, the resolution criteria requires active regular US military personnel to physically enter Iran's terrestrial territory for combat operations between June 21-December 31, 2025. The evidence shows military posturing, threats, and preparations for potential conflict, but no reports of actual US ground forces entering Iran. While tensions are high and military deployments suggest readiness for potential operations, the historical pattern shows the US has conducted airstrikes (June 2024) without ground invasion. The evidence indicates conflict is possible but not imminent or confirmed. The timeframe is narrow (remaining months of 2025), and direct ground invasion would be a major escalation beyond demonstrated US strategy in the region."
25c3f1b2e05b73f6803f231e4f0f12b9c9e87f6fbbc9d8c2fd71044ab729fdd7,acled,"Will there be more than ten times as many fatalities in Armenia for the 30 days before 2025-11-02 compared to one plus the 30-day average of fatalities over the 360 days preceding 2025-10-26?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,fatalities
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of fatalities over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more fatalities would need to occur in the 30 days leading up to the resolution.",2025-10-16T00:00:00+00:00,2025-11-02,0.0,0.12,0.02,10,0.0144,0.0004,0.014,-0.8333333333333333,0.8333333333333333,"This question asks whether fatalities in Armenia during Oct 3-Nov 2, 2025 will exceed 10x the baseline (1 + 30-day average of fatalities from Oct 26, 2024 - Oct 25, 2025). Armenia has experienced periodic conflict, particularly with Azerbaijan, but sustained violence causing >10x normal fatalities in a 30-day period would require major escalation. Without evidence of imminent large-scale conflict, this represents a low-probability tail event. Historical patterns suggest Armenia's baseline fatalities are relatively low during peacetime, making a 10x spike unlikely absent major geopolitical changes.","The question asks whether fatalities in Armenia during October 3-November 2, 2025 will exceed 10 times the baseline (1 + 30-day average of fatalities from October 26, 2024 to October 25, 2025). The evidence provided discusses general mortality statistics (natural deaths from disease, accidents) and crime statistics (murders), but contains no information about conflict-related fatalities or ACLED-classified events. The evidence shows Armenia experienced a 44-day war in 2020 (5 years prior), but no current armed conflict is mentioned. Recent data shows murders declining 2% in 2025 and general mortality from natural causes. There is no indication of active conflict, mass casualties, or extraordinary violence that would cause a 10-fold spike in fatalities. The question specifically references ACLED data (conflict-related events), and the evidence provides no support for such a dramatic increase in conflict fatalities."
0x58e092763b1321e8368538bf5b78fc200d9409e105700e06eceb66b35ef371aa,polymarket,Will Walter Reeves win the 2025 Atlanta mayoral election?,2025-10-16T00:00:00+00:00,2025-11-04,0.0,0.25,0.01,9,0.0625,0.0001,0.0624,-0.96,0.96,"Walter Reeves is a candidate in the 2025 Atlanta mayoral race. Without access to real-time polling data, campaign developments, or current political dynamics in Atlanta, I must rely on base rates. Atlanta mayoral elections typically feature multiple candidates. Reeves appears to be one of several candidates, but I lack specific information about his polling position, name recognition, fundraising, or endorsements relative to competitors. Given the typical distribution of support in multi-candidate races and the absence of strong prior information favoring Reeves, I estimate a modest probability.","Evidence from Fox 5 Atlanta and CBS Atlanta (October 2025) identifies only four candidates in the 2025 Atlanta mayoral race: Andre Dickens, Helmut 'Love' Domagalski, Kalema Jackson, and Eddie Meredith. Walter Reeves is not mentioned in any source as a candidate. With the election on November 4, 2025, and no evidence of Reeves' candidacy in recent comprehensive coverage, he cannot win."
25e629b0a54ee795ccbb7c44968f319952cae286525fa43501a290151a3f1d6c,wikipedia,"According to Wikipedia, will Aleksandra Goryachkina have an Elo rating on 2025-11-02 that's at least 1% higher than on 2025-10-26?",2025-10-16T00:00:00+00:00,2025-11-02,0.0,0.25,0.45,10,0.0625,0.2025,-0.14,0.26666666666666666,0.26666666666666666,"Aleksandra Goryachkina is a top female chess player with a rating typically in the 2500+ range. A 1% increase would require approximately 25+ rating points gained in 7 days. While chess ratings can fluctuate based on tournament results, gaining 25+ points in a week is relatively uncommon for elite players unless they have exceptional tournament performance. Without knowledge of specific tournaments scheduled for late October 2025, the probability of such a gain is modest but not negligible.","The provided evidence concerns WTA tennis rankings, not chess Elo ratings. No information is given about Aleksandra Goryachkina's chess rating, tournament schedule, or competitive activity between October 26 and November 2, 2025. A 1% rating increase is modest but requires tournament participation. Without relevant evidence, this is highly uncertain."
0x07c96dbd0f70e5a27a0e15c22042abcc57bc6acc7f740f7935e0a08cde5e5138,polymarket,Will the U.S. collect between $500b and $1t in revenue in 2025?,2025-10-16T00:00:00+00:00,2026-02-28,0.0,0.02,0.02,10,0.0004,0.0004,0.0,0.0,0.0,"The question asks if U.S. customs duties will be between $500b-$1t in FY 2025. The background states FY 2025 customs duties were $82.2b. This is far below the $500b threshold. The resolution criteria explicitly states if Treasury doesn't publish by Feb 28, 2026, it resolves to 'lowest bracket' (implying below $500b). Given the actual collected amount is $82.2b, well below $500b, resolution to YES is extremely unlikely.","The question asks whether the U.S. will collect between $500b and $1t in customs duties revenue in FY 2025. According to the background information provided, the U.S. government collected $82.2b in customs duties in FY 2025. Multiple evidence snippets confirm tariff revenues for FY 2025 were approximately $195b (some sources cite $195b total tariff revenue). This is well below the $500b lower bound of the specified range. The evidence consistently shows FY 2025 tariff/customs revenue was roughly $82-195b depending on the specific metric, all significantly below $500b. Therefore, the resolution will be NO."
